timestamp,model_name,parameters,train_max_acc,train_round,train_loss,val_max_acc,val_round,val_loss,test_max_acc,test_round,test_loss
2025-08-24 23:02:44,test_sampled_uniform_5_J_8,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000}",-1.0,1,-1.0,0.362,956,2.8033,0.3875,910,2.6447
2025-08-25 02:25:54,test_sampled_uniform_5_J_16,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500}",-1.0,1,-1.0,0.327,417,2.9565,0.3512,497,2.891
2025-08-25 05:29:22,test_sampled_uniform_10_J_4,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000}",-1.0,1,-1.0,0.4348,1937,2.9378,0.4544,1937,2.9048
2025-08-25 08:12:05,test_sampled_uniform_10_J_8,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000}",-1.0,1,-1.0,0.3918,901,3.0467,0.4091,901,3.0054
2025-08-25 10:40:56,test_sampled_uniform_10_J_16,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500}",-1.0,1,-1.0,0.347,461,3.2452,0.363,470,3.3078
2025-08-25 03:30:59,test_sampled_uniform_50_J_4,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000}",-1.0,1,-1.0,0.4442,1912,3.7807,0.4534,1963,3.9832
2025-08-25 06:58:22,test_sampled_uniform_50_J_8,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000}",-1.0,1,-1.0,0.3874,922,4.0514,0.4038,996,4.3686
2025-08-25 10:13:25,test_sampled_uniform_50_J_16,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500}",-1.0,1,-1.0,0.3284,427,4.3034,0.3418,482,4.359
2025-08-28 20:04:29,test_sampled_uniform_1_J_4,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000}",-1,1,-1,0.3126,1907,2.7109,0.3327,1741,2.6031
2025-08-28 20:04:29,test_sampled_uniform_1_J_8,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000}",-1,1,-1,0.2758,998,2.9526,0.3046,995,2.83
2025-08-28 20:04:29,test_sampled_uniform_1_J_16,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500}",-1,1,-1,0.234,483,3.0693,0.2578,483,2.9629
2025-08-29 07:08:05,test_iid_J_4,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000}",-1.0,1,-1.0,0.434,1790,3.8796,0.4548,1989,4.2555
2025-08-29 09:09:51,test_iid_J_8,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000}",-1.0,1,-1.0,0.3914,972,4.2711,0.4007,969,4.4014
2025-08-29 17:36:45,test_iid_J_16,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500}",-1.0,1,-1.0,0.3576,494,4.1197,0.3576,500,4.2707
2025-08-31 16:59:18,test_sampled_uniform_5_J_4,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000}",-1,1,-1,0.4178,1977,2.7772,0.4466,1772,2.5171
