name,shard_key,Nc_label,J,final_round,test_acc,val_acc,test_loss,val_loss
test_iid_J_16,iid,iid,16,500,0.3576,0.3452,4.2707,4.1325
test_iid_J_4,iid,iid,4,2000,0.4492,0.429,4.23,4.0537
test_iid_J_8,iid,iid,8,1000,0.394,0.3856,4.4759,4.2181
test_sampled_gamma_0.01_J_4,sampled_gamma_0.01,Nc=0,4,2000,0.4423,0.4088,4.3021,4.1631
test_sampled_gamma_0.1_J_4,sampled_gamma_0.1,Nc=0,4,2000,0.4402,0.4138,4.2932,4.1142
test_sampled_gamma_0.5_J_4,sampled_gamma_0.5,Nc=0,4,2000,0.4449,0.4168,4.258,4.0825
test_sampled_gamma_10_J_4,sampled_gamma_10,Nc=10,4,2000,0.442,0.4206,4.2862,4.1087
test_sampled_gamma_1_J_4,sampled_gamma_1,Nc=1,4,2000,0.4403,0.4306,4.2937,4.0582
test_sampled_uniform_10_J_16,sampled_uniform_10,Nc=10,16,500,0.3187,0.2962,3.6074,3.6306
test_sampled_uniform_10_J_4,sampled_uniform_10,Nc=10,4,2000,0.4462,0.4112,3.0425,3.1202
test_sampled_uniform_10_J_8,sampled_uniform_10,Nc=10,8,1000,0.3853,0.3552,3.2489,3.2909
test_sampled_uniform_1_J_16,sampled_uniform_1,Nc=1,16,500,0.1949,0.1824,3.3472,3.3357
test_sampled_uniform_1_J_4,sampled_uniform_1,Nc=1,4,2000,0.2788,0.2586,2.9421,3.0401
test_sampled_uniform_1_J_8,sampled_uniform_1,Nc=1,8,1000,0.2559,0.226,3.0423,3.2134
test_sampled_uniform_50_J_16,sampled_uniform_50,Nc=50,16,500,0.3367,0.3264,4.3472,4.2364
test_sampled_uniform_50_J_4,sampled_uniform_50,Nc=50,4,2000,0.4448,0.4288,4.1548,3.9176
test_sampled_uniform_50_J_8,sampled_uniform_50,Nc=50,8,1000,0.3975,0.3736,4.39,4.2703
test_sampled_uniform_5_J_16,sampled_uniform_5,Nc=5,16,500,0.3261,0.3026,3.1617,3.3184
test_sampled_uniform_5_J_4,sampled_uniform_5,Nc=5,4,2000,0.4278,0.3954,2.671,2.8252
test_sampled_uniform_5_J_8,sampled_uniform_5,Nc=5,8,1000,0.344,0.3232,3.0748,3.2062
